state,year,votes_dem,votes_gop,total_votes
Alabama,2000,695602.0,944409.0,1672551
Alabama,2004,693933.0,1176394.0,1883415
Alabama,2008,813479.0,1266546.0,2099819
Alabama,2012,795696.0,1255925.0,2070353
Alabama,2016,729547.0,1318250.0,2123367
Alabama,2020,849648.0,1441168.0,2323304
Alaska,2000,79004.0,167398.0,285530
Alaska,2004,180365.0,292267.0,488693
Alaska,2008,123594.0,193841.0,326197
Alaska,2012,122640.0,164676.0,300495
Alaska,2016,116454.0,163387.0,323112
Alaska,2020,153405.0,189892.0,391346
Arizona,2000,685341.0,781652.0,1534113
Arizona,2004,893524.0,1104294.0,2012585
Arizona,2008,1034707.0,1230111.0,2293475
Arizona,2012,1025232.0,1233654.0,2299254
Arizona,2016,1161167.0,1252401.0,2628756
Arizona,2020,1672143.0,1661686.0,3387326
Arkansas,2000,422768.0,472940.0,921781
Arkansas,2004,468631.0,572770.0,1053694
Arkansas,2008,422310.0,638017.0,1086617
Arkansas,2012,394409.0,647744.0,1069468
Arkansas,2016,380494.0,684872.0,1129896
Arkansas,2020,423932.0,760647.0,1219069
California,2000,5861203.0,4567429.0,10965856
California,2004,6737355.0,5501496.0,12383678
California,2008,8274473.0,5011781.0,13561900
California,2012,7854285.0,4839958.0,13038547
California,2016,8753788.0,4483810.0,14181595
California,2020,11109764.0,6005961.0,17495906
Colorado,2000,738227.0,883745.0,1741365
Colorado,2004,1001732.0,1101255.0,2129630
Colorado,2008,1288576.0,1073589.0,2401361
Colorado,2012,1322998.0,1185050.0,2569217
Colorado,2016,1338870.0,1202484.0,2780220
Colorado,2020,1804352.0,1364607.0,3256953
Connecticut,2000,816015.0,561094.0,1459525
Connecticut,2004,857488.0,693826.0,1578769
Connecticut,2008,1000291.0,628041.0,1647085
Connecticut,2012,891674.0,624210.0,1533545
Connecticut,2016,897572.0,673215.0,1644920
Connecticut,2020,1080680.0,715291.0,1824280
Delaware,2000,180068.0,137288.0,327529
Delaware,2004,200141.0,171651.0,375170
Delaware,2008,255459.0,152374.0,412412
Delaware,2012,242584.0,165484.0,413937
Delaware,2016,235603.0,185127.0,442997
Delaware,2020,296268.0,200603.0,504010
District of Columbia,2000,171923.0,18073.0,201894
District of Columbia,2004,202970.0,21256.0,227586
District of Columbia,2008,245800.0,17367.0,265853
District of Columbia,2012,267070.0,21381.0,293764
District of Columbia,2016,282830.0,12723.0,311268
District of Columbia,2020,317323.0,18586.0,344356
Florida,2000,2911417.0,2911215.0,5960660
Florida,2004,3583544.0,3964522.0,7609810
Florida,2008,4282366.0,4046212.0,8391639
Florida,2012,4237756.0,4163447.0,8474179
Florida,2016,4504975.0,4617886.0,9420039
Florida,2020,5297045.0,5668731.0,11067456
Georgia,2000,1116230.0,1419720.0,2596804
Georgia,2004,1366149.0,1914254.0,3298790
Georgia,2008,1844137.0,2048744.0,3925278
Georgia,2012,1773827.0,2078688.0,3900050
Georgia,2016,1877963.0,2089104.0,4114711
Georgia,2020,2473633.0,2461854.0,4997716
Hawaii,2000,205242.0,137819.0,367871
Hawaii,2004,231335.0,194116.0,428555
Hawaii,2008,325201.0,120429.0,452742
Hawaii,2012,306266.0,120937.0,434221
Hawaii,2016,266891.0,128847.0,428937
Hawaii,2020,366130.0,196864.0,574469
Idaho,2000,138637.0,336937.0,501621
Idaho,2004,181098.0,409235.0,598376
Idaho,2008,236440.0,403012.0,655032
Idaho,2012,212787.0,420911.0,652274
Idaho,2016,189765.0,409055.0,690433
Idaho,2020,287021.0,554118.0,868105
Illinois,2000,2589026.0,2019421.0,4742123
Illinois,2004,2891989.0,2346608.0,5275415
Illinois,2008,3419673.0,2031527.0,5523051
Illinois,2012,3019512.0,2135102.0,5241891
Illinois,2016,3090729.0,2146015.0,5558707
Illinois,2020,3471915.0,2446891.0,6038850
Indiana,2000,901980.0,1245836.0,2199305
Indiana,2004,969011.0,1479438.0,2468002
Indiana,2008,1374039.0,1345648.0,2751054
Indiana,2012,1152887.0,1420543.0,2624534
Indiana,2016,1033126.0,1557286.0,2734958
Indiana,2020,1242495.0,1729852.0,3033198
Iowa,2000,638517.0,634373.0,1315563
Iowa,2004,741898.0,751957.0,1506908
Iowa,2008,828940.0,682379.0,1536820
Iowa,2012,822544.0,730617.0,1582180
Iowa,2016,653669.0,800983.0,1566031
Iowa,2020,759061.0,897672.0,1690871
Kansas,2000,399276.0,622332.0,1072216
Kansas,2004,434993.0,736456.0,1187756
Kansas,2008,514765.0,699655.0,1235872
Kansas,2012,439908.0,689809.0,1156254
Kansas,2016,427005.0,671018.0,1184403
Kansas,2020,558669.0,758100.0,1349567
Kentucky,2000,638898.0,872492.0,1544187
Kentucky,2004,712733.0,1069439.0,1795860
Kentucky,2008,751985.0,1048462.0,1826508
Kentucky,2012,679370.0,1087190.0,1797212
Kentucky,2016,628854.0,1202971.0,1924149
Kentucky,2020,772474.0,1326646.0,2136768
Louisiana,2000,792344.0,927871.0,1765656
Louisiana,2004,820299.0,1102169.0,1943106
Louisiana,2008,781574.0,1148015.0,1959085
Louisiana,2012,809141.0,1152262.0,1994065
Louisiana,2016,780154.0,1178638.0,2029032
Louisiana,2020,856034.0,1255776.0,2148062
Maine,2000,319951.0,286616.0,651817
Maine,2004,364153.0,308997.0,686510
Maine,2008,421923.0,295273.0,731163
Maine,2012,399235.0,291418.0,710126
Maine,2016,354718.0,334945.0,743941
Maine,2020,430473.0,359899.0,813740
Maryland,2000,1145782.0,813797.0,2025480
Maryland,2004,1334493.0,1024703.0,2386678
Maryland,2008,1629467.0,959862.0,2631596
Maryland,2012,1677844.0,971869.0,2707327
Maryland,2016,1677928.0,943169.0,2781446
Maryland,2020,1985023.0,976414.0,3037030
Massachusetts,2000,1616487.0,878502.0,2702984
