committee_id,committee_name,candidate_id,candidate_name,candidate_office,candidate_district,candidate_state,beginning_image_number,calculated_candidate_share,communication_date,public_distribution_date,disbursement_date,disbursement_amount,purpose_description,report_year,file_number,amendment_indicator,receipt_date,payee_name,payee_state,sb_image_num,sub_id,link_id,sb_link_id,number_of_candidates,pdf_url
C30002893,WINNING FOR WOMEN INC.,,,,,,201810239130807069,500000.00,2018-10-24 00:00:00,2018-10-24 00:00:00,2018-10-19 00:00:00,500000.00,BROADCAST COMMUNICATION - PROTECT,2018,1279106,N,2018-10-23 00:00:00,SRCP MEDIA INC.,VA,201810239130807071,4103120181608286740,4102320181600406748,4103020181607737990,1,https://docquery.fec.gov/cgi-bin/fecimg/?201810239130807071
C30002927,PLUS ACTION FUND,,,,,,201810269133543660,1206.73,2018-10-23 00:00:00,2018-10-23 00:00:00,2018-10-25 00:00:00,1206.73,COLIN ALLRED - SUPPORTING,2018,1284773,N,2018-10-26 00:00:00,PLUS ACTION FUND,CA,201810269133543661,4111420181617802216,4102620181600793741,4111420181617632705,1,https://docquery.fec.gov/cgi-bin/fecimg/?201810269133543661
C30002943,BLACK VOTERS MATTER FUND INC,,,,,,201811269133808088,5635.00,2018-11-24 00:00:00,,2018-11-24 00:00:00,5635.00,DIGITAL ADVERTISING,2018,1292013,N,2018-11-25 00:00:00,FACEBOOK,CA,201811269133808089,4112620181619934486,4112620181619579519,4112620181619595032,1,https://docquery.fec.gov/cgi-bin/fecimg/?201811269133808089
C30002901,CITIZEN ACTION OF NJ,,,,,,201811289133853293,363.59,2018-10-18 00:00:00,2018-10-18 00:00:00,2018-10-18 00:00:00,363.59,SALARYTRAVEL EXPENSES,2018,1292612,A,2018-11-28 00:00:00,"MOTTOLA JABORSKA, DENA",NJ,201811289133853295,4112820181620159712,4112820181620121844,4112820181620141031,1,https://docquery.fec.gov/cgi-bin/fecimg/?201811289133853295
C30002901,CITIZEN ACTION OF NJ,,,,,,201811289133853293,101.47,2018-10-18 00:00:00,2018-10-18 00:00:00,2018-10-18 00:00:00,101.47,SALARY/TRAVEL EXPENSES,2018,1292612,A,2018-11-28 00:00:00,"MONTES, JEROME",NJ,201811289133853295,4112820181620159713,4112820181620121844,4112820181620141033,1,https://docquery.fec.gov/cgi-bin/fecimg/?201811289133853295
C30002901,CITIZEN ACTION OF NJ,,,,,,201811289133853293,62.77,2018-10-18 00:00:00,2018-10-18 00:00:00,2018-10-18 00:00:00,62.77,SALARY/TRAVEL EXPENSE,2018,1292612,A,2018-11-28 00:00:00,"FERNANDEZ, MEGAN",NJ,201811289133853296,4112820181620159714,4112820181620121844,4112820181620141035,1,https://docquery.fec.gov/cgi-bin/fecimg/?201811289133853296
C30002679,45COMMITTEE INC.,,,,,,201804229111719383,101915.00,2018-04-21 00:00:00,2018-04-21 00:00:00,2018-04-20 00:00:00,101915.00,MEDIA PLACEMENT,2018,1226988,N,2018-04-22 00:00:00,MENTZER MEDIA SERVICES,MD,201804229111719385,4042720181530552460,4042320181526311851,4042720181530492381,1,https://docquery.fec.gov/cgi-bin/fecimg/?201804229111719385
C30001135,AMERICANS FOR JOB SECURITY,H8NM02032,"TEAGUE, HARRY",H,02,NM,10030421366,7286.00,,2010-09-07 00:00:00,2010-09-07 00:00:00,14572.00,,2010,-367755,N,2010-09-07 00:00:00,UPGRADE FILMS,DC,10030421368,1091020100004597218,1090720100004580436,1090720100004580471,2,https://docquery.fec.gov/cgi-bin/fecimg/?10030421368
C30001424,RURAL VOTES,P80002801,"MCCAIN, JOHN S.",P,00,US,28039900716,500.00,,2008-10-24 00:00:00,2008-10-02 00:00:00,500.00,,2008,,N,2008-10-26 00:00:00,WIOO,PA,28039900721,1091020100004599051,1102720080000636107,1103120080000637412,1,https://docquery.fec.gov/cgi-bin/fecimg/?28039900721
C30002679,45COMMITTEE INC.,,,,,,201804229111719383,9076.04,2018-04-21 00:00:00,2018-04-21 00:00:00,2018-04-20 00:00:00,9076.04,MEDIA PRODUCTION,2018,1226988,N,2018-04-22 00:00:00,MCCARTHY HENNINGS WHALEN,DC,201804229111719385,4042720181530552461,4042320181526311851,4042720181530492383,1,https://docquery.fec.gov/cgi-bin/fecimg/?201804229111719385
