FIPS,state,year,votes_dem,votes_gop,total_votes,pop,white_pop,black_pop,asian_pop,indian_pop,pacific_pop,two_pop,not_hisp_pop,hisp_pop
1001.0,Alabama,2012,6363.0,17379.0,23932,54954.0,43315.0,9949.0,552.0,275.0,44.0,819.0,53639.0,1315.0
1001.0,Alabama,2016,5936.0,18172.0,24973,55243.0,42679.0,10602.0,646.0,258.0,51.0,1007.0,53745.0,1498.0
1003.0,Alabama,2012,18424.0,66016.0,85338,190145.0,166229.0,17895.0,1641.0,1411.0,122.0,2847.0,181778.0,8367.0
1003.0,Alabama,2016,18458.0,72883.0,95215,207601.0,181136.0,19093.0,2116.0,1586.0,121.0,3549.0,198310.0,9291.0
1005.0,Alabama,2012,5912.0,5550.0,11509,27169.0,13701.0,12913.0,126.0,151.0,46.0,232.0,25942.0,1227.0
1005.0,Alabama,2016,4871.0,5454.0,10469,25806.0,12850.0,12373.0,112.0,151.0,41.0,279.0,24693.0,1113.0
1007.0,Alabama,2012,2202.0,6132.0,8420,22667.0,17416.0,4904.0,30.0,82.0,29.0,206.0,22188.0,479.0
1007.0,Alabama,2016,1874.0,6738.0,8819,22586.0,17323.0,4890.0,43.0,84.0,27.0,219.0,22028.0,558.0
1009.0,Alabama,2012,2970.0,20757.0,24006,57580.0,55417.0,913.0,148.0,346.0,64.0,692.0,52724.0,4856.0
1009.0,Alabama,2016,2156.0,22859.0,25588,57494.0,55234.0,907.0,158.0,345.0,63.0,787.0,52286.0,5208.0
1011.0,Alabama,2012,4061.0,1251.0,5322,10606.0,2867.0,7443.0,22.0,84.0,77.0,113.0,9802.0,804.0
1011.0,Alabama,2016,3530.0,1140.0,4710,10389.0,2745.0,7332.0,25.0,89.0,75.0,123.0,9615.0,774.0
1013.0,Alabama,2012,4374.0,5087.0,9496,20670.0,11207.0,9019.0,214.0,65.0,10.0,155.0,20426.0,244.0
1013.0,Alabama,2016,3726.0,4901.0,8732,20012.0,10554.0,8897.0,273.0,74.0,10.0,204.0,19747.0,265.0
1015.0,Alabama,2012,15511.0,30278.0,46257,117190.0,89244.0,24381.0,977.0,562.0,116.0,1910.0,113251.0,3939.0
1015.0,Alabama,2016,13242.0,32865.0,47864,114973.0,86840.0,24130.0,1120.0,590.0,117.0,2176.0,110730.0,4243.0
1017.0,Alabama,2012,6871.0,7626.0,14611,34104.0,20066.0,13315.0,246.0,88.0,20.0,369.0,33485.0,619.0
1017.0,Alabama,2016,5784.0,7843.0,13900,33745.0,19374.0,13430.0,418.0,104.0,18.0,401.0,32986.0,759.0
1019.0,Alabama,2012,2132.0,7506.0,9779,25958.0,24187.0,1185.0,63.0,138.0,9.0,376.0,25563.0,395.0
1019.0,Alabama,2016,1547.0,8953.0,10733,25768.0,23979.0,1104.0,83.0,164.0,8.0,430.0,25374.0,394.0
1021.0,Alabama,2012,3397.0,13932.0,17462,43582.0,38266.0,4384.0,177.0,213.0,73.0,469.0,40231.0,3351.0
1021.0,Alabama,2016,2911.0,15081.0,18369,43866.0,38275.0,4518.0,202.0,222.0,76.0,573.0,40477.0,3389.0
1023.0,Alabama,2012,3786.0,4152.0,7968,13563.0,7617.0,5839.0,21.0,22.0,0.0,64.0,13474.0,89.0
1023.0,Alabama,2016,3109.0,4106.0,7292,13045.0,7478.0,5435.0,18.0,27.0,1.0,86.0,12916.0,129.0
1025.0,Alabama,2012,6334.0,7470.0,13851,25155.0,13696.0,11072.0,91.0,111.0,4.0,181.0,24869.0,286.0
1025.0,Alabama,2016,5749.0,7140.0,13031,24340.0,13110.0,10795.0,105.0,112.0,5.0,213.0,24001.0,339.0
1027.0,Alabama,2012,1777.0,4817.0,6662,13434.0,11182.0,1934.0,29.0,73.0,1.0,215.0,13025.0,409.0
1027.0,Alabama,2016,1237.0,5245.0,6624,13393.0,11121.0,1899.0,31.0,78.0,0.0,264.0,12988.0,405.0
1029.0,Alabama,2012,971.0,5272.0,6305,14889.0,14123.0,509.0,24.0,54.0,10.0,169.0,14576.0,313.0
1029.0,Alabama,2016,684.0,5764.0,6593,14848.0,14086.0,474.0,27.0,71.0,12.0,178.0,14490.0,358.0
1031.0,Alabama,2012,4925.0,14666.0,19770,51141.0,39289.0,8852.0,764.0,723.0,207.0,1306.0,47940.0,3201.0
1031.0,Alabama,2016,4221.0,15875.0,20767,51202.0,38973.0,9059.0,804.0,710.0,211.0,1445.0,47629.0,3573.0
1033.0,Alabama,2012,9166.0,13936.0,23385,54570.0,44198.0,8899.0,260.0,308.0,23.0,882.0,53303.0,1267.0
1033.0,Alabama,2016,7312.0,16746.0,24915,54497.0,44054.0,8737.0,315.0,342.0,31.0,1018.0,53045.0,1452.0
1035.0,Alabama,2012,3555.0,3439.0,7022,13046.0,6738.0,6071.0,18.0,52.0,2.0,165.0,12844.0,202.0
1035.0,Alabama,2016,3080.0,3420.0,6585,12500.0,6367.0,5883.0,23.0,50.0,4.0,173.0,12253.0,247.0
1037.0,Alabama,2012,2191.0,3049.0,5269,11346.0,7531.0,3584.0,16.0,65.0,17.0,133.0,11125.0,221.0
1037.0,Alabama,2016,1782.0,3381.0,5252,10819.0,7215.0,3365.0,15.0,65.0,17.0,142.0,10580.0,239.0
1039.0,Alabama,2012,3158.0,12153.0,15423,37805.0,32133.0,4725.0,175.0,226.0,1.0,545.0,37249.0,556.0
1039.0,Alabama,2016,2387.0,13267.0,15940,37382.0,31646.0,4752.0,176.0,245.0,3.0,560.0,36769.0,613.0
1041.0,Alabama,2012,2050.0,4331.0,6418,13915.0,10049.0,3344.0,213.0,75.0,11.0,223.0,13698.0,217.0
1041.0,Alabama,2016,1664.0,4513.0,6267,13916.0,10118.0,3286.0,170.0,80.0,4.0,258.0,13643.0,273.0
1043.0,Alabama,2012,5052.0,28999.0,34457,80279.0,77588.0,910.0,399.0,453.0,36.0,893.0,76950.0,3329.0
1043.0,Alabama,2016,3798.0,32989.0,37873,82450.0,79224.0,1034.0,555.0,519.0,62.0,1056.0,78861.0,3589.0
1045.0,Alabama,2012,5286.0,13108.0,18557,50289.0,38047.0,9756.0,598.0,398.0,59.0,1431.0,47424.0,2865.0
1045.0,Alabama,2016,4413.0,13808.0,18749,49362.0,36835.0,10039.0,655.0,422.0,85.0,1326.0,46269.0,3093.0
1047.0,Alabama,2012,14612.0,6288.0,20953,42789.0,12351.0,29845.0,170.0,95.0,17.0,311.0,42393.0,396.0
1047.0,Alabama,2016,12836.0,5789.0,18792,40080.0,11205.0,28210.0,204.0,109.0,19.0,333.0,39657.0,423.0
1049.0,Alabama,2012,5239.0,18331.0,23863,70944.0,65878.0,1275.0,282.0,1477.0,531.0,1501.0,61107.0,9837.0
